Part,Value,Device,Description
ANT,JTI+AF8-ANTENNA+AC0-1575AT43A40,,GPS Antenna
C1,4u7,SMT 0805,CAPACITOR
CON1,6X1,0.1+IB0- Angled,
I2C,4x1,0.1+IB0- connector,For sensor etc.
IC1,TC74,SMT SOT23,
L1,33nH,SMT 0603,RESISTOR
LED1,RED,SMT 0805,LED
R1,1K,SMT 0805,RESISTOR
GPS ,UBLOX+AF8-MAXM8Q, , 
